Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
J0620-6107,06:20:05,-61:07:32,0.236,0.241,0.233,0.173,0.112
J0621-4651,06:21:19,-46:49:58,0.224,0.203,0.136,0.086,0.124
J0621-5241,06:21:43,-52:41:33,0.651,0.394,0.245,0.088,0.144
J0623-6436,06:23:08,-64:36:21,0.348,0.427,1.227,0.737,0.204
J0625-6020,06:25:24,-60:20:30,0.351,0.305,0.193,0.118,0.127
J0625-5438,06:25:52,-54:38:51,0.883,0.888,0.726,0.5,0.203
0624-058,06:27:10,-05:53:05,12.015,5.706,1.762,0.585,0.432
0628-627,06:28:57,-62:48:45,,0.344,0.263,0.211,
0627-199,06:29:24,-19:59:20,0.69,0.758,1.163,0.703,0.836
0629-418,06:31:12,-41:54:27,0.557,0.399,0.789,0.544,0.139
0637-752,06:35:47,-75:16:17,5.122,4.118,2.982,2.261,1.875
0637-337,06:39:21,-33:46:00,0.383,0.703,0.343,0.153,0.053
0639-032,06:41:51,-03:20:49,0.554,0.708,0.958,0.996,1.145
J0642-6150,06:42:47,-61:50:09,0.168,0.157,0.107,0.085,0.106
0640+090,06:43:26,08:57:38,0.64,0.628,0.564,0.589,0.601
0642-349,06:44:25,-34:59:42,0.68,0.596,0.421,0.224,0.066
J0644-6712,06:44:28,-67:12:57,0.489,0.578,0.438,0.394,0.256
0646-306,06:48:14,-30:44:20,0.473,1.243,1.453,1.251,0.685
0647-475,06:48:48,-47:34:27,1.474,0.554,0.127,0.038,0.024
J0649-5920,06:49:29,-59:20:34,0.075,0.137,0.071,0.067,0.133
0648-165,06:50:25,-16:37:40,2.827,3.33,2.015,2.006,1.011
J0652-5751,06:52:44,-57:51:20,0.017,0.023,0.038,0.028,0.142
0650-063,06:53:01,-06:25:33,0.395,0.47,0.427,0.336,0.607
0653-033,06:56:11,-03:23:07,0.857,1.224,1.12,0.692,1.543
J0658-5840,06:58:14,-58:40:28,0.298,0.194,0.188,0.168,0.124
0656+082,06:59:18,08:13:31,0.849,0.806,0.319,0.212,0.149
J0700-6610,07:00:31,-66:10:45,0.492,0.538,0.488,0.4,1.094
0700-465,07:01:35,-46:34:37,,0.534,,,
0700-101,07:02:36,-10:15:06,0.304,0.463,0.385,0.308,0.171
0700-007,07:03:19,-00:51:05,0.518,0.46,0.437,0.203,0.508
J0705-6500,07:05:26,-65:00:43,0.163,0.136,0.12,0.089,0.112
0704-231,07:06:33,-23:11:38,2.89,1.33,0.563,0.236,0.213
0706-113,07:09:10,-11:27:48,0.095,0.127,0.105,0.089,0.195
0707-036,07:10:20,-03:43:28,1.08,0.68,0.368,0.267,0.213
J0715-6829,07:15:09,-68:29:58,0.143,0.206,0.421,0.368,0.147
J0715-6627,07:15:13,-66:27:52,0.487,0.248,0.086,0.042,0.113
J0716-6240,07:16:34,-62:40:27,0.168,0.341,0.278,0.272,0.139
J0719-6218,07:19:04,-62:18:02,0.132,0.145,0.177,0.154,0.131
J0719-5228,07:19:14,-52:28:33,0.212,0.221,0.186,0.144,0.111
0718+042,07:21:24,04:06:44,0.464,0.703,0.633,0.625,1.096
J0723-8247,07:23:39,-82:47:41,0.16,0.125,0.103,0.057,0.296
0721-071,07:24:17,-07:15:20,0.673,2.099,1.518,1.168,0.286
0723-189,07:25:50,-19:04:19,0.137,0.13,0.137,0.115,0.059
